Subject ID:, Run Polar:, Run Ecc:, Run Bars:, Polar no. of cycles:, Polar cycle duration:, Eccentricity no. of cycles:, Eccentricity cycle duration:, Bar no. of sweeps:, Bar sweep duration:
Bars, No, No, Yes, 18, 42.667, 15, 51.333, 16, 20
Baseline Duration preceding and following stimualtion: 12 secs
Time, pa_cycle_count, time_through_pa_cycle, pa_angle, ecc_cycle_count, time_through_ecc_cycle, ecc_inner_rad, bar_sweep_count, time_through_bar_sweep, bar_drift_position, bar_orientation, fixation_orientation
12.06, 0, 0.05, 0,                              0, 0.05, 0,                              0, 0.05, 0, 0.0,                              45
12.11, 0, 0.1, 0,                              0, 0.1, 0,                              0, 0.1, 3, 0.0,                              45
12.15, 0, 0.14, 0,                              0, 0.14, 0,                              0, 0.14, 4, 0.0,                              45
12.2, 0, 0.19, 1,                              0, 0.19, 1,                              0, 0.19, 6, 0.0,                              45
12.25, 0, 0.24, 1,                              0, 0.24, 1,                              0, 0.24, 8, 0.0,                              45
12.3, 0, 0.29, 2,                              0, 0.29, 1,                              0, 0.29, 11, 0.0,                              45
12.35, 0, 0.34, 2,                              0, 0.34, 2,                              0, 0.34, 13, 0.0,                              45
12.39, 0, 0.38, 2,                              0, 0.38, 2,                              0, 0.38, 15, 0.0,                              45
12.44, 0, 0.43, 3,                              0, 0.43, 3,                              0, 0.43, 17, 0.0,                              45
12.49, 0, 0.47, 3,                              0, 0.47, 3,                              0, 0.47, 19, 0.0,                              45
12.55, 0, 0.53, 4,                              0, 0.53, 3,                              0, 0.53, 22, 0.0,                              45
12.59, 0, 0.58, 4,                              0, 0.58, 4,                              0, 0.58, 24, 0.0,                              45
12.64, 0, 0.63, 4,                              0, 0.63, 4,                              0, 0.63, 26, 0.0,                              45
12.68, 0, 0.67, 5,                              0, 0.67, 4,                              0, 0.67, 28, 0.0,                              45
12.73, 0, 0.72, 5,                              0, 0.72, 5,                              0, 0.72, 30, 0.0,                              45
12.78, 0, 0.77, 6,                              0, 0.77, 5,                              0, 0.77, 32, 0.0,                              45
12.82, 0, 0.81, 6,                              0, 0.81, 5,                              0, 0.81, 34, 0.0,                              45
12.87, 0, 0.86, 6,                              0, 0.86, 6,                              0, 0.86, 36, 0.0,                              45
12.92, 0, 0.91, 7,                              0, 0.91, 6,                              0, 0.91, 38, 0.0,                              45
