Subject ID:, Run Polar:, Run Ecc:, Run Bars:, Polar no. of cycles:, Polar cycle duration:, Eccentricity no. of cycles:, Eccentricity cycle duration:, Bar no. of sweeps:, Bar sweep duration:
SUB03, No, No, Yes, 18, 42.667, 15, 51.333, 16, 20
Baseline Duration preceding and following stimualtion: 12 secs
Time, pa_cycle_count, time_through_pa_cycle, pa_angle, ecc_cycle_count, time_through_ecc_cycle, ecc_inner_rad, bar_sweep_count, time_through_bar_sweep, bar_drift_position, bar_orientation, fixation_orientation
12.09, 0, 0.07, 0,                              0, 0.07, 0,                              0, 0.07, 1, 0.0,                              45
12.13, 0, 0.12, 0,                              0, 0.12, 0,                              0, 0.12, 3, 0.0,                              45
12.17, 0, 0.16, 0,                              0, 0.16, 1,                              0, 0.16, 5, 0.0,                              45
12.22, 0, 0.2, 1,                              0, 0.2, 1,                              0, 0.2, 7, 0.0,                              45
12.26, 0, 0.24, 1,                              0, 0.24, 1,                              0, 0.24, 9, 0.0,                              45
12.3, 0, 0.29, 2,                              0, 0.29, 1,                              0, 0.29, 11, 0.0,                              45
12.34, 0, 0.33, 2,                              0, 0.33, 2,                              0, 0.33, 13, 0.0,                              45
12.39, 0, 0.37, 2,                              0, 0.37, 2,                              0, 0.37, 15, 0.0,                              45
12.43, 0, 0.42, 3,                              0, 0.42, 2,                              0, 0.42, 16, 0.0,                              45
12.47, 0, 0.46, 3,                              0, 0.46, 3,                              0, 0.46, 18, 0.0,                              45
12.52, 0, 0.5, 3,                              0, 0.5, 3,                              0, 0.5, 20, 0.0,                              45
12.56, 0, 0.55, 4,                              0, 0.55, 3,                              0, 0.55, 22, 0.0,                              45
12.61, 0, 0.59, 4,                              0, 0.59, 4,                              0, 0.59, 24, 0.0,                              45
12.65, 0, 0.64, 5,                              0, 0.64, 4,                              0, 0.64, 26, 0.0,                              45
12.69, 0, 0.68, 5,                              0, 0.68, 4,                              0, 0.68, 28, 0.0,                              45
12.74, 0, 0.73, 5,                              0, 0.73, 5,                              0, 0.73, 30, 0.0,                              45
12.78, 0, 0.77, 6,                              0, 0.77, 5,                              0, 0.77, 32, 0.0,                              45
12.83, 0, 0.81, 6,                              0, 0.81, 5,                              0, 0.81, 34, 0.0,                              45
12.87, 0, 0.86, 6,                              0, 0.86, 6,                              0, 0.86, 36, 0.0,                              45
12.91, 0, 0.9, 7,                              0, 0.9, 6,                              0, 0.9, 38, 0.0,                              45
12.96, 0, 0.94, 7,                              0, 0.94, 6,                              0, 0.94, 39, 0.0,                              45
13.0, 0, 0.99, 7,                              0, 0.99, 7,                              0, 0.99, 41, 0.0,                              45
13.04, 0, 1.03, 8,                              0, 1.03, 7,                              0, 1.03, 43, 0.0,                              45
13.09, 0, 1.07, 8,                              0, 1.07, 7,                              0, 1.07, 45, 0.0,                              45
13.13, 0, 1.12, 9,                              0, 1.12, 8,                              0, 1.12, 47, 0.0,                              45
13.17, 0, 1.16, 9,                              0, 1.16, 8,                              0, 1.16, 49, 0.0,                              45
13.22, 0, 1.21, 9,                              0, 1.21, 8,                              0, 1.21, 51, 0.0,                              45
13.26, 0, 1.25, 10,                              0, 1.25, 9,                              0, 1.25, 53, 0.0,                              45
13.3, 0, 1.29, 10,                              0, 1.29, 9,                              0, 1.29, 55, 0.0,                              45
13.35, 0, 1.34, 10,                              0, 1.34, 9,                              0, 1.34, 56, 0.0,                              45
13.39, 0, 1.38, 11,                              0, 1.38, 10,                              0, 1.38, 58, 0.0,                              45
13.44, 0, 1.43, 11,                              0, 1.43, 10,                              0, 1.43, 60, 0.0,                              45
13.48, 0, 1.47, 12,                              0, 1.47, 10,                              0, 1.47, 62, 0.0,                              45
13.53, 0, 1.52, 12,                              0, 1.52, 11,                              0, 1.52, 64, 0.0,                              45
13.57, 0, 1.56, 12,                              0, 1.56, 11,                              0, 1.56, 66, 0.0,                              45
13.62, 0, 1.61, 13,                              0, 1.61, 11,                              0, 1.61, 68, 0.0,                              45
